City/Town,PinCode,District
Ahmednagar,414001,Ahmednagar
Akola,444001,Akola
Amravati,444601,Amravati
Aurangabad,431001,Aurangabad
Bhayander West,401101,Thane
Bhiwandi,421308,Thane
Chandrapur,442401,Chandrapur
Dhule,424001,Dhule
Dombivali,421201,Thane
Ichalkaranji,416115,Kolhapur
Jalgaon,425001,Jalgaon
Kalyan City,421301,Thane
Kolhapur,416003,Kolhapur
Latur,413512,Latur
Malegaon,423203,Nashik
Mira,401107,Thane
Mumbai,400001,Mumbai
Nagpur,440001,Nagpur
Nanded,431601,Nanded
Nashik,422001,Nashik
Parbhani,431401,Parbhani
Pimpri,412303,Pune
Pune,411001,Pune
Sangli,416416,Sangli
Solapur,413001,Solapur
Thane,400601,Thane
Ulhasnagar,1421002,Thane
Vasai East IE,401208,Palghar
Virar,401303,Palghar